"Object Designation","Year Range","Potential Impacts","Impact Probability (cumulative)","Vinfinity (km/s)","H (mag)","Estimated Diameter (km)","Palermo Scale (cum.)","Palermo Scale (max.)","Torino Scale (max.)",""
"(2021 VA9)","2065-2120","15","5.4e-5","6.87","26.6","0.016","-5.38","-5.40","0","bK21V09A"
"(2010 XB)","2036-2036","1","1.0e-4","19.52","29.6","0.004","-5.39","-5.39","0","bK10X00B"
"(2019 KJ4)","2059-2122","201","9.8e-5","5.01","27.2","0.012","-5.40","-6.22","0","bK19K04J"
"(2020 GB1)","2049-2120","28","2.8e-5","8.28","26.9","0.014","-5.40","-5.52","0","bK20G01B"
"(2005 NX55)","2028-2081","21","1.1e-8","24.80","21.9","0.140","-5.40","-6.00","0","bK05N55X"
"(2024 BX5)","2083-2123","78","1.4e-4","3.60","27.5","0.011","-5.40","-5.59","0","bK24B05X"
"(2021 UT5)","2075-2096","6","2.3e-4","12.10","28.4","0.007","-5.40","-5.56","0","bK21U05T"
"(2011 SM173)","2058-2120","14","5.6e-5","14.25","27.8","0.009","-5.41","-5.45","0","bK11SH3M"
"(2019 SX)","2046-2120","96","5.3e-4","14.43","29.5","0.004","-5.41","-5.64","0","bK19S00X"
"(2015 FA345)","2024-2095","5","1.1e-7","9.67","24.1","0.053","-5.41","-5.43","0","bK15FY5A"
"(2023 PZ)","2077-2122","46","9.6e-4","1.08","29.1","0.005","-5.41","-5.54","0","bK23P00Z"
"(2023 XJ2)","2067-2115","2","2.5e-6","6.27","24.3","0.046","-5.41","-5.42","0","bK23X02J"
"(2020 GA3)","2054-2122","27","4.8e-6","16.87","25.1","0.033","-5.42","-5.81","0","bK20G03A"
"(2008 KO)","2049-2061","3","5.3e-7","23.49","24.4","0.045","-5.42","-5.72","0","bK08K00O"
"(2022 WF1)","2110-2122","8","3.8e-6","11.91","24.5","0.043","-5.42","-5.55","0","bK22W01F"
"(2022 UN)","2123-2123","2","1.0e-7","20.72","21.6","0.160","-5.42","-5.48","0","bK22U00N"
"(2020 PO4)","2053-2122","109","6.7e-5","5.82","26.9","0.014","-5.42","-6.17","0","bK20P04O"
"(2022 RD2)","2083-2122","98","5.6e-4","0.41","28.6","0.007","-5.43","-5.94","0","bK22R02D"
"(2021 EL3)","2088-2122","195","6.1e-4","5.39","28.8","0.006","-5.43","-5.81","0","bK21E03L"
"(2022 TG1)","2101-2122","8","1.9e-5","5.81","25.6","0.025","-5.43","-5.62","0","bK22T01G"
"(2021 WV1)","2048-2121","146","2.4e-4","2.66","28.5","0.007","-5.43","-5.62","0","bK21W01V"
"(2014 GQ17)","2052-2122","153","6.3e-5","5.41","27.1","0.013","-5.44","-5.92","0","bK14G17Q"
"(2021 XV)","2045-2071","14","4.8e-4","10.76","30.1","0.003","-5.44","-5.44","0","bK21X00V"
"(2012 DJ54)","2068-2122","115","3.2e-4","5.43","28.5","0.007","-5.45","-5.84","0","bK12D54J"
"(2009 FZ10)","2111-2115","4","1.0e-5","13.01","25.5","0.027","-5.45","-5.47","0","bK09F10Z"
"(2020 PQ2)","2066-2093","3","8.3e-7","20.40","24.3","0.048","-5.45","-5.51","0","bK20P02Q"
"(2007 EV)","2080-2121","15","6.9e-6","10.59","25.0","0.033","-5.46","-6.00","0","bK07E00V"
"(2009 CZ1)","2058-2111","3","9.9e-7","17.88","24.4","0.044","-5.46","-5.70","0","bK09C01Z"
"(2016 BA15)","2050-2114","28","1.4e-5","15.88","26.8","0.015","-5.46","-5.58","0","bK16B15A"
"(2021 UW1)","2092-2120","12","1.8e-5","13.77","26.2","0.020","-5.46","-5.57","0","bK21U01W"
"(2023 HD6)","2077-2086","3","6.4e-5","9.04","27.4","0.011","-5.46","-5.48","0","bK23H06D"
"(2011 EB)","2070-2122","6","3.4e-5","10.31","26.9","0.014","-5.47","-5.55","0","bK11E00B"
"(2022 KV6)","2070-2070","2","4.4e-7","25.27","24.0","0.055","-5.47","-5.71","0","bK22K06V"
"(2023 TL3)","2066-2071","4","3.4e-6","16.30","25.4","0.028","-5.47","-5.53","0","bK23T03L"
"(2013 FU13)","2081-2122","24","7.8e-5","5.73","27.2","0.012","-5.48","-5.97","0","bK13F13U"
"(2010 HV20)","2116-2116","3","8.8e-8","24.74","21.9","0.140","-5.48","-5.50","0","bK10H20V"
"(2013 WZ44)","2111-2117","5","1.3e-5","12.55","25.7","0.025","-5.48","-5.65","0","bK13W44Z"
"(2023 XZ13)","2053-2123","55","1.4e-4","8.49","28.4","0.007","-5.48","-5.51","0","bK23X13Z"
"(2021 EA)","2055-2060","5","6.8e-5","9.46","28.0","0.009","-5.49","-5.52","0","bK21E00A"
"(2009 RR)","2098-2120","58","9.3e-6","12.95","25.6","0.026","-5.50","-6.29","0","bK09R00R"
"(2021 JW2)","2046-2122","216","1.1e-4","4.89","27.6","0.010","-5.50","-6.34","0","bK21J02W"
"(2021 FM2)","2070-2083","9","1.1e-3","10.85","30.3","0.003","-5.50","-5.50","0","bK21F02M"
"(2022 XO1)","2093-2122","16","3.4e-5","8.94","26.6","0.016","-5.51","-5.57","0","bK22X01O"
"(2021 KT2)","2057-2120","17","1.4e-4","8.27","28.4","0.007","-5.51","-5.59","0","bK21K02T"
"(2023 TW2)","2063-2123","72","2.6e-5","2.67","26.3","0.018","-5.51","-5.91","0","bK23T02W"
"(2014 HN197)","2069-2118","12","6.5e-9","22.00","19.9","0.350","-5.52","-6.00","0","bK14HJ7N"
"(2016 CD30)","2056-2105","5","5.8e-5","10.53","27.7","0.010","-5.52","-5.55","0","bK16C30D"
"(2010 UB)","2116-2119","4","6.2e-6","7.99","24.8","0.037","-5.52","-5.66","0","bK10U00B"
"(2020 GO1)","2064-2122","93","1.2e-4","6.85","27.6","0.010","-5.52","-6.02","0","bK20G01O"
"(2021 ER)","2072-2122","29","7.1e-5","4.30","27.0","0.014","-5.52","-6.05","0","bK21E00R"
"(2023 YB2)","2123-2123","1","1.7e-6","11.19","23.8","0.059","-5.52","-5.52","0","bK23Y02B"
"(2024 AZ3)","2089-2123","60","3.4e-4","9.88","28.8","0.006","-5.52","-5.85","0","bK24A03Z"
"(2023 SY5)","2089-2115","2","7.5e-5","10.99","27.6","0.010","-5.53","-5.53","0","bK23S05Y"
"(2016 CK137)","2041-2122","159","5.3e-5","9.83","27.3","0.012","-5.54","-6.11","0","bK16CD7K"
"(2009 JL2)","2057-2116","19","8.2e-6","12.83","26.0","0.022","-5.54","-5.96","0","bK09J02L"
"(2017 RZ15)","2070-2122","29","6.5e-5","7.86","27.1","0.013","-5.54","-5.94","0","bK17R15Z"
"(2023 JE5)","2071-2115","2","3.5e-6","9.22","25.0","0.034","-5.54","-5.54","0","bK23J05E"
"(2020 DK)","2089-2122","34","1.6e-5","10.45","26.0","0.021","-5.55","-6.32","0","bK20D00K"
"(2020 VO1)","2058-2121","66","1.4e-4","7.68","28.0","0.009","-5.55","-5.84","0","bK20V01O"
"(2023 VD1)","2060-2123","40","6.3e-6","8.55","25.1","0.033","-5.55","-6.30","0","bK23V01D"
"(2018 VA8)","2098-2120","58","3.4e-5","11.82","26.9","0.014","-5.56","-5.95","0","bK18V08A"
"(2018 VC7)","2049-2119","15","5.8e-5","4.22","27.4","0.011","-5.56","-5.83","0","bK18V07C"
"(2022 SA11)","2076-2121","35","3.5e-4","6.55","28.7","0.006","-5.56","-5.59","0","bK22S11A"
